id,price
0,1871
1,262
2,654
3,2249
4,1091
5,1146
6,8715
7,3927
8,3726
9,6541
10,5087
11,670
12,1117
13,1372
14,5581
15,6439
16,5300
17,865
18,10980
19,7397
20,851
21,1273
22,4454
23,15218
24,239
25,1137
26,807
27,679
28,10221
29,1118
30,947
31,4199
32,605
33,1760
34,807
35,9599
36,3698
37,611
38,1999
39,477
40,1834
41,6271
42,4913
43,2573
44,3685
45,1133
46,1916
47,14254
48,1810
49,4048
50,15834
51,637
52,2188
53,852
54,3510
55,1027
56,4178
57,15934
58,2854
59,809
60,16722
61,1952
62,1284
63,4845
64,1400
65,944
66,13475
67,8556
68,2247
69,2734
70,6050
71,3017
72,1676
73,828
74,1983
75,1131
76,752
77,969
78,9581
79,14415
80,4408
81,1442
82,1200
83,1810
84,1983
85,621
86,1792
87,970
88,2864
89,3218
90,2393
91,1971
92,15246
93,2299
94,780
95,1443
96,5201
97,716
98,417
99,6552
100,852
101,9062
102,803
103,3327
104,6050
105,1521
106,2029
107,5887
108,7272
109,3539
110,4272
111,14895
112,1016
113,4808
114,4302
115,12257
116,834
117,1647
118,668
119,2636
120,1935
121,673
122,12743
123,7113
124,5924
125,1545
126,989
127,8061
128,3188
129,807
130,680
131,7255
132,8467
133,757
134,1859
135,1614
136,682
137,9694
138,1521
139,2678
140,2082
141,2493
142,2357
143,8259
144,777
145,4091
146,15997
147,8023
148,14194
149,2024
150,3108
151,5433
152,652
153,799
154,1112
155,887
156,5943
157,903
158,1055
159,1734
160,1016
161,5055
162,960
163,2877
164,4392
165,653
166,4933
167,4301
168,604
169,12458
170,6507
171,5969
172,893
173,12289
174,4385
175,965
176,589
177,796
178,808
179,6402
180,1118
181,836
182,5414
183,5153
184,2825
185,2814
186,2059
187,8255
188,1716
189,9065
190,5219
191,6390
192,15982
193,1295
194,4003
195,13817
196,1056
197,4209
198,4576
199,2631
200,2839
201,3953
202,10004
203,757
204,15930
205,595
206,8787
207,2731
208,11061
209,1017
210,5389
211,1545
212,1584
213,3554
214,857
215,15968
216,7068
217,457
218,983
219,871
220,8769
221,5115
222,6172
223,4976
224,830
225,2580
226,7207
227,2364
228,1241
229,1681
230,264
231,2878
232,3926
233,655
234,1734
235,4998
236,888
237,1475
238,993
239,1156
240,637
241,5784
242,10001
243,1904
244,2376
245,1100
246,1118
247,4105
248,928
249,7333
250,762
251,131
252,7395
253,569
254,6199
255,5275
256,1429
257,768
258,844
259,1570
260,1236
261,1277
262,828
263,11678
264,10828
265,1884
266,4796
267,744
268,1462
269,5646
270,3022
271,922
272,2727
273,6571
274,5242
275,880
276,6467
277,12846
278,1011
279,865
280,4105
281,931
282,1078
283,1265
284,13765
285,10731
286,865
287,7015
288,803
289,1844
290,6608
291,6710
292,6902
293,6723
294,932
295,3883
296,754
297,1061
298,1825
299,1104
300,9160
301,5049
302,8410
303,1262
304,8338
305,4963
306,8671
307,2891
308,5443
309,4433
310,6931
311,7514
312,2547
313,947
314,6328
315,1792
316,893
317,880
318,6043
319,10583
320,6428
321,2019
322,9564
323,893
324,2391
325,611
326,3737
327,3287
328,3847
329,15441
330,1764
331,948
332,15614
333,2632
334,2447
335,5444
336,4875
337,1237
338,3102
339,758
340,14033
341,728
342,14790
343,8715
344,1044
345,3650
346,6430
347,15469
348,7334
349,1024
350,855
351,1588
352,1179
353,891
354,716
355,5341
356,5115
357,10385
358,16288
359,696
360,1237
361,2385
362,734
363,1107
364,5538
365,955
366,2944
367,4437
368,2406
369,1296
370,2868
371,1819
372,778
373,916
374,506
375,9650
376,734
377,3736
378,576
379,900
380,6123
381,2253
382,3920
383,1052
384,3620
385,630
386,9684
387,2907
388,15230
389,5337
390,8344
391,487
392,4696
393,4519
394,3711
395,2110
396,14697
397,717
398,2596
399,2304
400,1005
401,771
402,1166
403,5535
404,1745
405,2694
406,1970
407,1843
408,10923
409,1590
410,1118
411,1152
412,13013
413,11175
414,5858
415,15013
416,850
417,3163
418,2281
419,2793
420,2019
421,7391
422,4366
423,9617
424,1285
425,723
426,5295
427,5610
428,809
429,2162
430,973
431,7205
432,2569
433,8466
434,2147
435,820
436,2524
437,10089
438,4022
439,11161
440,574
441,6614
442,12472
443,796
444,1112
445,2362
446,3089
447,1781
448,443
449,4387
450,715
451,1271
452,1285
453,8897
454,656
455,6504
456,6072
457,810
458,7181
459,1859
460,5567
461,15359
462,1688
463,5149
464,10843
465,6620
466,734
467,6783
468,5420
469,6912
470,9022
471,14390
472,1357
473,7083
474,892
475,693
476,1475
477,873
478,9246
479,4937
480,820
481,10254
482,848
483,893
484,6815
485,4718
486,1036
487,501
488,1758
489,10642
490,5735
491,13952
492,911
493,1085
494,730
495,8071
496,7058
497,6734
498,801
499,702
500,1475
501,1781
502,5055
503,164
504,15561
505,1993
506,655
507,1912
508,596
509,1035
510,8320
511,10729
512,1030
513,5025
514,2384
515,6278
516,1060
517,7222
518,1507
519,814
520,706
521,3111
522,405
523,15636
524,6139
525,762
526,1451
527,14311
528,4641
529,948
530,6073
531,1069
532,4845
533,475
534,777
535,6787
536,885
537,7564
538,6464
539,1344
540,778
541,2728
542,1559
543,927
544,13988
545,15789
546,486
547,1843
548,5349
549,1200
550,2472
551,653
552,4374
553,932
554,225
555,2301
556,15126
557,814
558,1873
559,1042
560,780
561,1139
562,1233
563,1781
564,493
565,3042
566,2038
567,1876
568,709
569,5599
570,509
571,13370
572,4082
573,1667
574,697
575,1222
576,2962
577,1854
578,5094
579,929
580,1770
581,4637
582,3522
583,637
584,775
585,812
586,2537
587,5196
588,3105
589,2165
590,2842
591,14605
592,1480
593,1021
594,1292
595,1187
596,2773
597,7889
598,913
599,7051
600,6276
601,1172
602,5583
603,815
604,6276
605,15177
606,891
607,1150
608,5971
609,635
610,589
611,4937
612,2878
613,734
614,6815
615,1657
616,758
617,680
618,1843
619,12654
620,7640
621,3611
622,3733
623,846
624,1475
625,1850
626,571
627,5327
628,7151
629,1058
630,6573
631,993
632,664
633,611
634,11892
635,5746
636,1396
637,5218
638,6783
639,2851
640,1996
641,757
642,819
643,18079
644,7785
645,3529
646,1082
647,584
648,3581
649,3199
650,4686
651,1507
652,1545
653,4097
654,3229
655,1021
656,4872
657,793
658,2217
659,884
660,1727
661,1184
662,777
663,771
664,1655
665,2357
666,1184
667,5013
668,14219
669,11937
670,1318
671,7140
672,11516
673,8320
674,2646
675,2863
676,519
677,1443
678,10645
679,5858
680,802
681,10638
682,1623
683,815
684,5381
685,2050
686,2426
687,8351
688,587
689,11250
690,13877
691,4669
692,5381
693,1971
694,1334
695,3805
696,435
697,1131
698,2553
699,6393
700,2393
701,2413
702,7634
703,911
704,859
705,741
706,1086
707,721
708,461
709,4884
710,1859
711,8996
712,6688
713,649
714,867
715,665
716,929
717,891
718,1206
719,4859
720,713
721,726
722,1218
723,815
724,4553
725,4233
726,7103
727,737
728,1205
729,14539
730,857
731,10170
732,2464
733,10608
734,9768
735,6078
736,7899
737,5497
738,6675
739,996
740,4884
741,712
742,5326
743,4324
744,839
745,729
746,6835
747,4373
748,2693
749,606
750,2635
751,699
752,1739
753,14733
754,1417
755,1179
756,2759
757,5221
758,2432
759,7000
760,4463
761,911
762,5715
763,1060
764,1781
765,563
766,1157
767,2958
768,3670
769,2161
770,9098
771,6094
772,913
773,949
774,967
775,5418
776,4895
777,2518
778,721
779,2083
780,3726
781,9994
782,1926
783,2437
784,885
785,4637
786,10555
787,3366
788,12650
789,796
790,2453
791,869
792,4289
793,1482
794,5451
795,746
796,13138
797,10823
798,833
799,2909
800,5671
801,5746
802,15296
803,914
804,4937
805,498
806,4029
807,172
808,14975
809,5064
810,3480
