id,price
0,1962
1,682
2,628
3,2113
4,1219
5,1087
6,7884
7,4511
8,3923
9,6355
10,4939
11,532
12,1193
13,1278
14,5248
15,6355
16,6036
17,837
18,9054
19,6803
20,716
21,1205
22,4183
23,13659
24,587
25,1312
26,861
27,671
28,9088
29,1134
30,750
31,3923
32,556
33,1830
34,861
35,9904
36,3361
37,602
38,1800
39,493
40,1698
41,7176
42,4904
43,2504
44,3806
45,1043
46,2440
47,14726
48,1914
49,4410
50,16559
51,597
52,2358
53,995
54,3683
55,899
56,3891
57,15835
58,2999
59,670
60,14875
61,1780
62,1356
63,4705
64,1312
65,1032
66,14707
67,8352
68,2161
69,2528
70,5734
71,3172
72,1636
73,963
74,2107
75,1180
76,741
77,781
78,10856
79,11080
80,4421
81,1259
82,1085
83,1914
84,2107
85,585
86,1975
87,750
88,3047
89,3310
90,2462
91,2000
92,15059
93,2515
94,578
95,1272
96,5050
97,671
98,884
99,7048
100,860
101,9497
102,864
103,3358
104,5126
105,1434
106,2445
107,4614
108,8712
109,3884
110,4588
111,14717
112,808
113,4649
114,3571
115,12005
116,701
117,1710
118,804
119,3172
120,2020
121,564
122,12767
123,7157
124,5610
125,1472
126,899
127,6784
128,3264
129,861
130,585
131,7194
132,7358
133,716
134,1876
135,1472
136,608
137,9812
138,1426
139,2158
140,2440
141,2370
142,2453
143,8265
144,650
145,3603
146,15520
147,8015
148,14946
149,2015
150,3200
151,5978
152,519
153,842
154,1052
155,1008
156,5756
157,842
158,1209
159,1716
160,1139
161,4828
162,1062
163,2788
164,4086
165,625
166,4694
167,4257
168,608
169,13313
170,6405
171,5496
172,899
173,9903
174,3941
175,955
176,853
177,705
178,744
179,6616
180,935
181,754
182,4763
183,4805
184,2999
185,2777
186,2139
187,8334
188,1519
189,8532
190,6328
191,5958
192,15021
193,1312
194,3988
195,15737
196,1209
197,4060
198,4705
199,2628
200,3016
201,3835
202,12448
203,837
204,14432
205,591
206,9192
207,2616
208,9395
209,1349
210,5517
211,1472
212,1568
213,3444
214,961
215,16187
216,7884
217,746
218,782
219,770
220,7900
221,5488
222,7237
223,5055
224,670
225,2359
226,6634
227,2000
228,1356
229,1620
230,629
231,2999
232,3990
233,583
234,1573
235,5334
236,944
237,1418
238,817
239,1209
240,604
241,5964
242,9245
243,2000
244,2586
245,1312
246,1134
247,4133
248,839
249,7484
